phone_number,churned
393-7991,FALSE
380-4524,FALSE
405-4350,FALSE
338-8612,FALSE
418-9470,FALSE
414-1467,FALSE
361-8748,FALSE
355-6250,TRUE
412-3425,TRUE
334-5571,FALSE
357-6794,FALSE
355-5221,FALSE
414-2036,FALSE
405-2234,FALSE
407-3201,FALSE
367-3304,FALSE
377-9526,FALSE
342-8813,TRUE
371-8929,TRUE
329-8540,FALSE
377-5013,FALSE
381-1712,FALSE
398-5195,TRUE
366-3805,FALSE
339-4924,TRUE
396-8551,FALSE
417-8960,FALSE
366-9936,TRUE
399-8419,TRUE
421-1264,FALSE
364-6992,FALSE
411-2297,FALSE
356-7848,FALSE
335-5378,FALSE
364-1224,FALSE
387-5388,FALSE
401-8994,FALSE
400-2419,FALSE
337-1993,FALSE
360-8926,FALSE
420-4654,TRUE
354-2215,FALSE
399-1939,FALSE
390-2676,FALSE
420-4132,TRUE
393-2256,TRUE
386-3716,FALSE
389-8407,FALSE
342-6680,FALSE
364-6617,TRUE
383-3583,FALSE
338-4704,FALSE
400-3168,TRUE
394-7682,FALSE
337-8750,FALSE
329-1120,FALSE
339-6887,FALSE
382-6740,FALSE
399-1526,TRUE
382-6119,FALSE
404-2069,FALSE
329-2106,FALSE
384-8314,FALSE
358-7212,FALSE
370-8039,FALSE
387-5618,FALSE
409-3611,FALSE
373-4542,FALSE
384-1895,FALSE
380-1093,FALSE
383-1580,FALSE
341-9321,FALSE
384-3968,TRUE
342-7847,FALSE
331-8698,FALSE
337-7132,FALSE
364-7579,FALSE
379-7890,TRUE
420-6893,FALSE
358-5239,FALSE
343-4434,FALSE
385-6470,FALSE
327-6947,FALSE
413-2034,TRUE
364-1156,FALSE
379-6936,FALSE
327-7615,FALSE
334-3433,FALSE
386-7672,FALSE
330-8642,TRUE
352-4255,FALSE
334-3152,FALSE
356-3554,FALSE
404-9485,FALSE
361-3491,FALSE
393-8000,FALSE
403-7587,FALSE
375-8584,TRUE
400-4883,TRUE
380-2125,FALSE
407-7760,FALSE
404-3184,FALSE
391-1850,FALSE
353-5218,FALSE
413-6899,FALSE
363-5220,FALSE
388-2082,FALSE
403-1286,FALSE
399-7573,FALSE
412-4990,FALSE
406-7175,FALSE
410-4125,FALSE
372-2361,TRUE
379-5981,FALSE
343-9362,FALSE
407-1461,TRUE
336-2510,TRUE
390-2027,TRUE
350-9298,FALSE
343-7980,FALSE
338-6767,FALSE
383-9392,FALSE
350-1054,FALSE
382-3034,TRUE
354-7303,FALSE
416-5380,FALSE
359-1287,FALSE
368-5046,FALSE
416-3536,FALSE
347-1182,FALSE
402-4206,FALSE
398-3490,FALSE
342-6182,FALSE
389-4686,FALSE
380-1669,FALSE
403-1409,FALSE
410-4629,FALSE
355-7681,FALSE
418-7885,TRUE
365-1710,FALSE
388-4235,TRUE
375-6971,FALSE
395-7027,FALSE
344-1999,FALSE
364-8637,TRUE
342-4634,TRUE
419-7320,FALSE
351-4104,FALSE
398-8353,FALSE
387-6522,FALSE
328-6785,FALSE
414-5554,TRUE
365-9789,FALSE
349-3065,FALSE
386-7001,FALSE
412-6782,TRUE
367-6010,FALSE
422-8472,FALSE
370-4667,FALSE
414-6478,FALSE
380-4194,FALSE
409-8346,FALSE
339-9147,FALSE
371-7098,FALSE
399-5418,FALSE
409-1729,FALSE
387-7184,FALSE
407-5234,TRUE
377-4646,FALSE
347-6706,FALSE
360-8131,TRUE
342-2078,FALSE
332-3072,TRUE
394-5397,FALSE
388-8481,FALSE
385-3019,FALSE
337-1302,FALSE
370-5687,FALSE
355-2963,FALSE
352-3832,TRUE
416-8826,FALSE
340-9208,TRUE
379-6697,FALSE
386-9320,TRUE
336-4889,TRUE
352-1257,FALSE
396-4149,FALSE
408-8873,FALSE
340-1893,FALSE
420-1372,FALSE
385-7814,FALSE
400-9082,FALSE
368-5621,FALSE
355-3803,FALSE
382-4771,TRUE
340-6060,FALSE
379-5017,TRUE
347-2422,FALSE
335-6557,FALSE
408-8957,FALSE
379-9438,FALSE
329-5668,FALSE
417-3313,FALSE
372-1849,FALSE
402-6363,FALSE
402-7349,FALSE
414-2751,FALSE
351-9450,FALSE
330-9197,FALSE
367-8176,FALSE
409-7971,FALSE
333-6788,TRUE
386-3651,FALSE
417-3884,FALSE
395-9771,FALSE
405-8341,TRUE
397-7074,FALSE
345-1157,TRUE
358-4181,FALSE
379-8644,TRUE
358-4969,FALSE
331-9374,FALSE
416-6760,FALSE
341-7855,FALSE
387-4090,TRUE
329-4175,FALSE
348-3694,FALSE
368-5606,FALSE
403-7877,FALSE
333-1633,FALSE
418-7248,FALSE
409-4681,FALSE
394-5644,FALSE
349-6098,FALSE
396-4269,FALSE
420-6843,FALSE
398-5465,FALSE
354-4763,FALSE
351-6644,FALSE
397-8771,FALSE
398-3969,FALSE
384-7156,FALSE
396-3744,TRUE
333-1826,FALSE
360-8501,FALSE
350-5398,FALSE
354-2301,FALSE
328-9030,FALSE
405-5431,FALSE
379-9498,FALSE
418-1678,FALSE
373-1437,FALSE
376-2803,FALSE
412-8992,TRUE
334-6492,FALSE
364-8778,FALSE
421-9683,FALSE
407-5054,TRUE
411-2289,TRUE
359-2149,FALSE
369-1757,FALSE
387-5176,FALSE
408-7260,FALSE
420-3480,TRUE
343-5445,FALSE
352-7986,FALSE
372-2527,FALSE
412-2578,FALSE
379-2554,FALSE
380-7206,FALSE
333-5541,TRUE
411-2995,FALSE
411-3547,FALSE
370-6858,TRUE
416-5528,FALSE
329-9685,FALSE
364-3035,FALSE
384-7646,FALSE
329-3501,FALSE
418-2068,FALSE
364-7547,FALSE
359-1487,FALSE
390-2383,FALSE
368-8579,FALSE
366-8322,FALSE
373-7819,FALSE
418-1655,FALSE
380-6554,FALSE
411-7944,FALSE
365-4106,FALSE
368-7933,FALSE
372-6246,TRUE
348-6721,FALSE
406-5281,TRUE
386-3025,FALSE
351-4517,FALSE
350-4256,FALSE
392-4995,FALSE
367-3275,TRUE
403-6877,FALSE
350-2332,FALSE
377-8126,FALSE
375-4450,FALSE
379-5420,FALSE
405-6350,FALSE
363-2674,FALSE
417-3093,FALSE
403-8383,FALSE
340-6397,TRUE
416-8652,FALSE
349-8594,FALSE
335-4379,FALSE
400-8619,FALSE
337-6212,FALSE
386-5996,FALSE
347-8258,FALSE
373-1160,FALSE
380-4150,FALSE
330-8787,FALSE
369-6042,FALSE
372-3670,FALSE
344-8759,FALSE
380-9660,FALSE
338-1968,FALSE
341-4332,TRUE
400-6094,FALSE
353-5289,FALSE
339-3672,FALSE
404-6427,FALSE
377-6036,FALSE
401-7439,FALSE
347-4928,FALSE
368-4117,FALSE
393-4707,FALSE
373-7804,FALSE
417-4285,FALSE
408-7909,FALSE
399-5167,FALSE
375-8931,FALSE
418-2321,FALSE
395-8865,FALSE
369-6323,FALSE
361-1256,FALSE
380-3141,FALSE
367-8066,FALSE
340-9715,FALSE
388-7231,FALSE
413-1858,FALSE
416-9219,FALSE
341-2862,FALSE
356-5066,FALSE
375-8229,FALSE
342-7953,TRUE
397-8357,FALSE
396-3138,FALSE
366-8053,FALSE
412-6048,FALSE
390-1385,FALSE
376-9305,TRUE
356-3006,FALSE
354-7765,FALSE
408-8444,FALSE
349-3633,FALSE
331-5650,TRUE
347-7259,FALSE
372-8261,FALSE
390-2848,FALSE
358-8220,FALSE
406-5144,FALSE
411-1626,FALSE
331-5631,FALSE
333-4239,FALSE
331-6403,FALSE
374-8632,FALSE
413-7537,FALSE
385-1733,TRUE
354-7711,TRUE
390-4127,FALSE
410-6815,FALSE
394-2576,TRUE
395-2817,FALSE
377-9045,FALSE
338-2813,FALSE
412-4971,FALSE
364-9028,FALSE
384-2907,FALSE
366-5049,FALSE
420-4140,FALSE
381-5641,FALSE
404-3055,TRUE
416-7924,FALSE
406-8380,FALSE
367-5128,FALSE
330-9351,FALSE
358-7985,TRUE
378-8317,FALSE
331-6243,FALSE
379-7476,FALSE
378-1408,FALSE
349-6158,FALSE
398-8927,TRUE
377-9636,FALSE
355-3062,FALSE
407-8683,FALSE
405-7948,FALSE
396-2646,FALSE
398-4699,FALSE
387-9043,FALSE
403-3235,FALSE
409-2788,FALSE
359-1645,FALSE
405-1184,FALSE
399-4204,FALSE
401-3749,FALSE
373-1739,FALSE
337-1944,FALSE
337-3453,FALSE
381-7815,FALSE
400-8640,FALSE
414-1854,FALSE
404-2850,FALSE
411-2117,FALSE
374-1411,FALSE
410-4156,FALSE
388-6108,TRUE
354-3963,FALSE
413-2121,FALSE
340-3837,FALSE
351-3590,FALSE
387-2956,FALSE
347-5734,FALSE
352-8833,FALSE
373-2483,FALSE
363-1871,FALSE
369-4991,FALSE
365-5778,FALSE
419-2228,FALSE
342-6200,FALSE
398-9791,FALSE
377-8635,FALSE
354-1754,FALSE
387-5133,FALSE
367-2480,FALSE
413-6203,FALSE
337-3699,FALSE
391-6449,FALSE
335-2410,FALSE
364-4535,FALSE
375-8260,FALSE
389-2130,TRUE
421-6168,FALSE
401-1455,FALSE
358-4997,FALSE
417-1397,FALSE
383-6332,FALSE
338-5344,TRUE
333-6486,FALSE
371-6274,FALSE
381-9931,FALSE
387-2084,TRUE
383-7095,FALSE
368-4510,FALSE
350-8219,FALSE
350-7785,TRUE
347-1864,TRUE
345-3199,FALSE
374-2374,FALSE
351-1816,FALSE
416-3576,FALSE
378-6684,FALSE
405-2038,FALSE
390-1597,FALSE
327-9613,FALSE
331-9226,FALSE
371-7947,FALSE
376-5968,FALSE
422-8152,FALSE
330-5602,FALSE
396-7652,FALSE
333-1661,TRUE
419-9550,FALSE
416-6596,FALSE
348-3424,FALSE
336-2113,FALSE
393-8963,TRUE
407-1491,FALSE
342-6864,TRUE
378-5140,FALSE
414-8045,FALSE
369-5896,FALSE
348-6199,FALSE
408-8885,FALSE
361-8630,FALSE
416-9174,FALSE
377-6340,FALSE
346-1098,FALSE
374-4186,FALSE
419-8866,FALSE
342-3593,FALSE
345-7512,FALSE
343-6820,FALSE
338-4794,FALSE
355-8388,FALSE
409-6884,FALSE
340-4599,FALSE
419-8830,FALSE
419-2044,FALSE
378-4742,FALSE
379-6150,FALSE
422-8906,FALSE
364-3553,FALSE
373-2387,TRUE
392-4556,FALSE
353-1300,FALSE
339-7623,FALSE
388-6925,TRUE
405-4441,FALSE
396-9684,FALSE
397-3854,FALSE
394-2549,FALSE
407-6746,FALSE
337-1017,FALSE
367-1806,FALSE
376-9077,TRUE
381-7440,FALSE
371-9388,TRUE
330-9102,FALSE
399-1377,TRUE
366-7430,FALSE
395-5549,FALSE
393-3431,TRUE
411-4797,FALSE
334-8668,FALSE
385-8301,FALSE
413-6417,FALSE
378-7171,FALSE
337-5390,FALSE
413-8297,TRUE
414-9924,FALSE
336-7762,FALSE
385-8758,FALSE
402-7173,FALSE
396-8663,FALSE
400-6520,FALSE
344-7508,FALSE
396-1316,TRUE
389-8812,FALSE
380-5600,FALSE
409-9699,FALSE
396-6712,FALSE
330-2627,FALSE
392-8252,FALSE
379-8315,FALSE
369-9280,FALSE
420-1296,FALSE
421-7427,FALSE
385-2811,FALSE
349-8988,FALSE
333-7221,FALSE
391-6973,FALSE
371-9065,FALSE
389-3992,FALSE
364-1001,FALSE
371-7406,TRUE
387-7338,FALSE
419-8947,TRUE
386-8678,FALSE
417-9122,FALSE
369-5327,FALSE
402-4898,FALSE
422-3701,FALSE
342-5610,FALSE
343-2507,FALSE
370-9624,FALSE
392-4026,TRUE
386-4495,FALSE
373-3185,FALSE
369-9169,FALSE
378-3392,FALSE
413-2720,TRUE
388-1570,FALSE
345-9530,FALSE
354-1588,FALSE
338-3265,FALSE
357-1685,FALSE
361-7238,FALSE
346-4638,FALSE
358-4536,FALSE
408-3215,FALSE
401-5654,FALSE
416-9329,FALSE
369-8569,FALSE
361-7995,FALSE
393-8065,FALSE
402-7954,FALSE
397-9729,FALSE
393-9679,FALSE
345-4482,TRUE
333-9428,FALSE
405-3504,FALSE
390-5776,FALSE
389-4585,FALSE
332-7088,FALSE
369-1521,FALSE
410-2570,FALSE
387-5736,FALSE
347-9629,FALSE
397-5715,FALSE
405-6013,TRUE
402-2371,FALSE
422-7769,FALSE
342-8290,FALSE
352-4586,FALSE
367-7186,FALSE
365-2713,FALSE
377-6009,FALSE
336-3641,FALSE
386-1232,FALSE
397-9547,FALSE
368-2580,FALSE
402-2974,FALSE
340-7792,FALSE
382-5340,TRUE
390-8352,FALSE
412-1996,TRUE
350-9459,FALSE
422-3465,FALSE
351-3505,TRUE
338-3267,FALSE
370-8625,FALSE
410-3903,FALSE
380-4273,TRUE
405-8165,FALSE
360-8224,FALSE
390-7408,FALSE
404-8841,FALSE
416-3550,FALSE
392-5428,FALSE
354-8345,FALSE
334-2938,FALSE
406-4649,FALSE
396-5467,FALSE
375-7203,FALSE
364-8533,FALSE
375-6587,FALSE
402-1792,FALSE
351-3853,FALSE
395-1103,FALSE
407-2847,FALSE
406-8007,FALSE
399-1571,FALSE
343-7745,FALSE
410-6499,FALSE
371-7111,FALSE
394-7129,FALSE
392-2267,FALSE
333-6661,FALSE
378-2996,FALSE
399-2354,FALSE
413-6583,TRUE
371-1481,TRUE
351-4786,FALSE
328-1728,FALSE
414-6137,TRUE
364-5210,FALSE
375-2367,TRUE
387-2232,FALSE
362-9630,FALSE
334-9218,FALSE
366-3815,FALSE
335-1608,FALSE
378-3789,FALSE
379-8123,FALSE
339-1089,FALSE
335-1545,FALSE
391-1025,TRUE
345-4308,FALSE
415-7128,FALSE
397-2910,FALSE
395-2561,FALSE
369-2037,FALSE
376-6510,FALSE
411-3123,FALSE
386-6362,FALSE
335-3768,FALSE
376-5983,TRUE
357-3354,FALSE
334-6819,FALSE
385-4368,FALSE
419-6650,FALSE
382-2277,TRUE
372-9024,FALSE
406-6159,FALSE
418-1149,FALSE
385-4165,FALSE
365-8541,FALSE
417-6290,TRUE
393-6536,FALSE
421-3115,FALSE
393-7275,FALSE
334-8646,FALSE
380-3894,FALSE
418-3129,FALSE
352-9179,FALSE
385-5069,FALSE
342-5240,FALSE
360-9919,FALSE
364-8121,FALSE
343-5656,FALSE
363-1245,FALSE
364-6062,FALSE
421-5052,FALSE
330-4402,TRUE
377-6138,FALSE
392-1345,FALSE
413-9842,FALSE
348-5559,FALSE
376-7462,FALSE
351-9727,FALSE
390-7940,TRUE
396-2691,FALSE
337-1761,FALSE
358-7548,FALSE
383-3965,FALSE
368-1503,TRUE
333-8838,FALSE
396-5534,FALSE
396-4480,FALSE
344-5336,FALSE
360-7929,FALSE
355-4217,FALSE
389-6975,FALSE
398-4383,FALSE
394-5472,FALSE
367-5080,FALSE
415-7640,FALSE
396-7938,FALSE
343-4014,FALSE
411-1450,FALSE
385-8393,FALSE
334-5429,FALSE
351-2839,FALSE
415-1527,FALSE
336-2264,TRUE
402-7333,FALSE
388-4326,FALSE
416-8998,FALSE
367-5148,FALSE
338-3883,TRUE
368-6335,TRUE
419-2467,FALSE
414-9921,FALSE
347-2481,FALSE
376-2544,FALSE
348-4821,FALSE
408-8744,FALSE
333-6431,FALSE
358-2875,FALSE
409-6092,FALSE
342-4371,FALSE
364-3331,FALSE
404-1439,FALSE
415-2123,FALSE
334-3001,FALSE
412-5379,FALSE
348-8585,FALSE
336-7727,FALSE
336-1079,FALSE
417-5848,FALSE
419-9250,FALSE
335-7325,FALSE
345-9837,FALSE
421-2652,FALSE
331-7160,FALSE
416-8527,FALSE
409-9467,FALSE
384-5440,FALSE
352-2088,TRUE
403-6518,FALSE
412-6050,FALSE
403-8791,FALSE
337-4677,FALSE
403-5421,TRUE
361-4305,FALSE
349-3935,FALSE
372-4073,TRUE
340-4491,FALSE
358-4511,FALSE
369-5325,FALSE
406-9445,FALSE
356-6569,FALSE
369-2798,FALSE
420-2042,FALSE
389-9887,FALSE
406-7671,FALSE
341-9275,FALSE
361-5396,FALSE
389-6407,FALSE
383-5256,FALSE
363-6514,FALSE
366-7180,FALSE
416-7124,TRUE
360-5152,FALSE
334-8660,FALSE
330-8556,TRUE
419-1982,TRUE
376-7004,TRUE
366-7433,FALSE
361-4021,TRUE
366-8192,FALSE
360-2821,FALSE
379-3484,TRUE
403-8513,FALSE
345-8355,FALSE
398-5944,FALSE
339-2838,FALSE
350-7147,FALSE
409-9439,FALSE
364-2624,FALSE
400-7992,FALSE
381-8810,FALSE
357-1102,FALSE
378-2128,FALSE
334-5912,FALSE
395-9139,TRUE
367-8983,FALSE
388-1635,TRUE
373-5950,FALSE
353-4406,FALSE
373-7237,FALSE
374-1198,TRUE
360-5514,FALSE
338-6365,FALSE
412-5694,FALSE
407-8340,FALSE
386-8818,TRUE
365-3109,FALSE
359-3038,FALSE
371-7202,FALSE
420-7053,FALSE
358-4500,TRUE
413-2362,FALSE
341-9349,FALSE
412-6600,FALSE
358-1235,FALSE
331-4983,FALSE
357-5946,TRUE
417-7127,FALSE
338-9678,FALSE
406-7312,FALSE
365-4747,FALSE
329-8503,FALSE
335-3391,FALSE
420-6860,FALSE
341-8645,FALSE
411-2765,FALSE
356-7381,FALSE
363-2715,FALSE
409-8074,FALSE
357-1624,FALSE
342-2543,FALSE
347-4427,FALSE
411-9580,FALSE
338-1170,FALSE
356-5217,FALSE
389-4921,FALSE
330-3162,FALSE
408-8236,TRUE
408-3742,FALSE
360-8716,FALSE
400-1731,FALSE
341-2423,FALSE
344-6099,FALSE
364-2584,FALSE
397-4141,FALSE
397-4475,FALSE
407-6315,FALSE
364-8203,TRUE
410-3888,TRUE
355-3630,FALSE
411-9655,FALSE
417-1886,FALSE
365-8751,FALSE
334-9736,TRUE
333-6861,FALSE
394-2206,FALSE
373-8058,FALSE
